项目,2023年12月31日,2022年12月31日
财务报表附注(续),,
债券,,
政府,"634,046","566,281"
政策性银行,"8,559","10,269"
同业和其他金融机构,"5,393","4,175"
企业,"39,561","44,442"
债权融资计划,"12,787","18,582"
资产管理计划,"16,627","38,186"
信托计划,"57,076","49,348"
资产支持证券及其他,"2,663","9,371"
小计,"776,712","740,654"
加：应计利息,"7,595","7,583"
减：减值准备(见附注四、19),"(11,840)","(16,387)"
合计,"772,467","731,850"
,本行,
,2023年12月31日,2022年12月31日
债券,,
政府,"633,715","566,281"
政策性银行,"8,559","10,269"
同业和其他金融机构,"5,196","4,175"
企业,"39,463","44,345"
债权融资计划,"12,787","18,582"
资产管理计划,"16,627","38,186"
信托计划,"57,076","49,348"
资产支持证券及其他,"2,663","9,371"
小计,"776,086","740,557"
加：应计利息,"7,586","7,581"
减：减值准备(见附注四、19),"(11,836)","(16,385)"
合计,"771,836","731,753"
于 2023 年 12 月 31 日，本集团及本行投资的债权投资中有,"人民币 31,816 百万元",质押于卖出回购
"协议(2022年12月31日：人民币9,091百万元)；本集团及",本行投资的债权投资中,"有人民币31,059"
百万元质押于国库定期存款(2022年12月31日：人民币2,"2,945百万元)；本集团",及本行投资的债
"权投资中有人民币188,366百万元质押于向中央银行借款协",议(2022年12月31日,"：人民币130,510"
百万元)。,,
