项目,列2,列3,列4,列5
财务报表附注(续),,,,
固定资产(续),,,,
,,本集团,,
,,,办公设备及,
,房屋及建筑物,运输工具,电子设备,合计
原值：,,,,
2022年1月1日,"10,882",87,"9,299","20,268"
本年增加,1,-,"1,097","1,098"
投资性房地产转入(见附注,,,,
四、12),82,-,-,82
转至投资性房地产(见附注,,,,
四、12),(13),-,-,(13)
在建工程转入(见附注四、,,,,
18d),351,,137,
本年减少,"(1,651)",,"(599,765)",
2022年12月31日,"10,822",87,"9,798","20,707"
累计折旧：,,,,
2022年1月1日,"3,126",71,"5,096","8,293"
本年增加(见附注四、44),"4,486",,"1,479","1,933"
投资性房地产转入(见附注,,,,
四、12),13,-,-,13
转至投资性房地产(见附注,,,,
四、12),(1),-,-,(1)
本年减少,(661),,"(548,615)",
2022年12月31日,"3,520",76,"6,027","9,623"
减值准备：,,,,
2022年1月1日,1,-,-,1
2022年12月31日(见附注四、,,,,
19),1,-,-,1
账面价值,,,,
2022年12月31日,"7,301",11,"3,771","11,083"
2022年1月1日,"7,755",16,"4,203","11,974"
