项目,"日 2022年1
1,791","（货币单位：人民币百万元）
2月31日 本年末比上年末增减
2,058 (13.0%)"
其他,2,1 100.0%
小计,"1,793","2,059 (12.9%)"
抵债资产减值准备 (,"1,587)","(1,699) (6.6%)"
抵债资产净值,206,360 (42.8%)
（2）负债结构及变动情况,,
"2023 年末，本集团负债总额 51,147.88 亿元",，较上年末增长,4.7%；其中，吸收存款本金余额
"34,072.95亿元，较上年末增长2.9%。",,
2023年12月,31日 20,（货币单位：人民币百万元）
项 目,占比 余,22年12月31日 本年末比上
余额,"67.6% 3,3",额 占比 年末增减
"吸收存款 3,458,287","66.6% 3,3","52,266 68.6% 3.2%"
"其中：吸收存款本金 3,407,295",1.0%,"12,684 67.8% 2.9%"
"吸收存款应计利息 50,992",4.1% 1,"39,582 0.8% 28.8%"
"向中央银行借款 208,783",9.2% 4,"91,916 3.9% 8.8%"
"同业及其他金融机构存放款项 467,791",,"07,278 8.3% 14.9%"
"拆入资金 49,059",1.0%,"57,393 1.2% (14.5%)"
"交易性金融负债 31,614",0.6%,"64,943 1.3% (51.3%)"
"衍生金融负债 42,220",0.8%,"36,525 0.7% 15.6%"
"卖出回购金融资产款 58,152",1.1%,"13,303 0.3% 337.1%"
"应付职工薪酬 17,189",0.3%,"18,571 0.4% (7.4%)"
"应交税费 9,380",0.2%,"14,674 0.3% (36.1%)"
"已发行债务证券 728,328",14.2% 6,"92,075 14.2% 5.2%"
"租赁负债 6,210",0.1%,"6,922 0.1% (10.3%)"
"其他（注） 37,775",0.8%,"30,968 0.7% 22.0%"
"负债总额 5,114,788","100.0% 4,8","86,834 100.0% 4.7%"
注：“其他”含报表项目中预计负债和其他负债。,,
吸收存款按客户类别分布情况,,
,日 2022年1,（货币单位：人民币百万元）
项 目 2023年12月31,日 2022年1,2月31日 本年末比上年末增减
企业存款,日 2022年1,
"2,1","99,677","2,277,714 (3.4%)"
"个人存款 1,2","07,618","1,034,970 16.7%"
"吸收存款本金合计 3,4","07,295","3,312,684 2.9%"
