项目,2023年12月31日,2022年12月31日
财务报表附注(续),,
债券,11,
政府,"123,279","77,973"
政策性银行,"64,440","79,843"
同业和其他金融机构,"25,738","75,052"
企业,"22,745","22,591"
基金,"165,174","184,228"
资产管理计划,"32,773",16
信托计划,"10,344","2,930"
资产支持证券,"2,141","2,686"
理财产品,"1,000",15
权益投资及其他,"2,659",799
合计,"450,293","446,133"
,本行,
,2023年12月31日,2022年12月31日
债券,,
政府,"121,431","77,009"
政策性银行,"64,348","79,792"
同业和其他金融机构,"25,738","74,748"
企业,"22,745","22,591"
基金,"162,861","182,221"
资产管理计划,"18,678",16
信托计划,"6,338","2,930"
资产支持证券,"2,141","2,686"
权益投资及其他,"2,659",799
合计,"426,939","442,792"
于 2023 年 12 月 31 日，本集团及本行投资的交易性金融资,"产中有人民币 18,101",百万元质押于卖
