项目,□适用 √不适用,列3
6.2,控股股东及其关联方对上市公司的非经营性,占用资金情况
,□适用 √不适用,
,本行报告期不存在控股股东及其关联方对上市公,司的非经营性占用资金。
6.3,董事会对最近一期“非标准审计报告”相关,情况的说明
,□适用 √不适用,
6.4,董事会、监事会、独立董事（如有）对会,计师事务所本报告期“非标准审计报告”
的说,明,
,□适用 √不适用,
6.5,与上年度财务报告相比，会计政策、会计估,计变更或重大会计差错更正的情况说明
,□适用 √不适用,
6.6,与上年度财务报告相比，合并报表范围发生,变化的情况说明
,√适用 □不适用,
,关于合并报表范围变化情况，详见“第十章 财务,报告”中的“四、财务报表主要项目附注 52.
结构,化主体”。,
6.7,聘任、解聘会计师事务所情况,
,现聘任的会计师事务所,
,2023年5月31日，本行2022年年度股东大会审议,通过了《平安银行股份有限公司关于续聘2023
年度,会计师事务所的议案》。本行续聘安永华明会计,师事务所（特殊普通合伙）担任本行2023年度
审计,师，提供审计及相关服务。,
境内,会计师事务所名称,安永华明会计师事务所（特殊普通合伙）
境内,会计师事务所报酬（含子公司）,人民币975万元
境内,会计师事务所审计服务的连续年限,3年
境内,会计师事务所注册会计师姓名,昌华、王阳燕
境内,会计师事务所注册会计师审计服务的连续年限,3年
