项目,风险披露(续),列3,列4,列5,列6,列7,列8
财务报表附注(续),,,,,,,
3.,市场风险(续),,,,,,
3.2,利率风险(续),,,,,,
,于2023年12月31日，本集,团的资产负,债表按合同重,定价日或到期,日两者较早者,分析如下：,
,,,,本集团,,,
,,,,2023年12月3,1日,,
,,,3个月,,,,
,,3个月内,至1年,1至5年,5年以上,不计息,合计
,资产：,,,,,,
,现金及存放中央银行,,,,,,
,款项,"267,428",-,-,-,"7,235","274,663"
,贵金属,-,-,-,-,"9,680","9,680"
,应收同业和其他金融,,,,,,
,机构款项(1),"308,595","98,492","16,232",-,"1,815","425,134"
,交易性金融资产及衍,,,,,,
,生金融资产,"5,353","21,960","163,439","44,305","255,757","490,814"
,发放贷款和垫款,"1,397,847","1,528,328","356,985","26,996","9,954","3,320,110"
,债权投资,"27,136","70,051","339,996","327,689","7,595","772,467"
,其他债权投资,"17,172","43,250","87,307","12,785","1,417","161,931"
,其他权益工具投资,-,-,-,-,"6,214","6,214"
,固定资产,-,-,-,-,"9,814","9,814"
,商誉,-,-,-,-,"7,568","7,568"
,使用权资产,-,-,-,-,"5,776","5,776"
,其他资产,-,-,-,-,"102,945","102,945"
,资产合计,"2,023,531","1,762,081","963,959","411,775","425,770","5,587,116"
,负债：,,,,,,
,向中央银行借款,"127,732","79,056",-,-,"1,995","208,783"
,应付同业和其他金融,,,,,,
,机构款项(2),"489,546","71,759","6,500",-,"7,197","575,002"
,交易性金融负债及衍,,,,,,
,生金融负债,"29,275",-,-,-,"44,559","73,834"
,吸收存款,"1,907,637","557,069","925,520",-,"68,061","3,458,287"
,已发行债务证券,"267,451","348,367","109,994",-,"2,516","728,328"
,租赁负债,-,-,-,-,"6,210","6,210"
,其他负债,-,-,-,-,"64,344","64,344"
,负债合计,"2,821,641","1,056,251","1,042,014",-,"194,882","5,114,788"
,利率风险缺口,"(798,110)","705,830","(78,055)","411,775",不适用,不适用
,(1) 应收同业和其他,金融机构款项,包括存放同业,款项、拆出资,金及买入返售,金融资产,。
,(2) 应付同业和其他,金融机构款项,包括同业及其,他金融机构存,放款项、拆入,资金及卖出,回购金融
