项目,列2,列3,列4,列5
2023年8月24日,深圳 业绩发布会 机构 境内外投资者,,,
2023年8月28日,深圳 实地调研 机构 境内投资者,,,
2023年9月4-5日,深圳 实地调研 机构 境内投资者,,,
2023年9月19日,深圳 电话沟通 机构 境外投资者,,,
2023年10月31日,深圳 业绩电话会 机构 境内外投资者,,,
2023年11月7日,深圳 电话沟通 机构 境内投资者,,,
2023年12月21日,深圳 电话沟通 机构 境外投资者,,,
2023年12月26日,深圳 实地调研 机构 境内分析师,,,
4.13 机构和员工,情况,,,
4.13.1 机构建设情况,,,,
本行持续实施网,点智能化建设，合理配置网点布局，2023 年,末，本行共有 109,家分行（含,香港
"分行），合计1,201",家营业机构。本行机构（含总行、分行及专营,机构）有关情况如,下：,
,,资产规,模,
机构名称,地址,网点数,员工,人数
,,（人民币百,万元）,
总行,深圳市罗湖区深南东路5047号,"1 2,0","12,282","7,746"
深圳分行,深圳市福田区深南中路1099号,101 7,"22,177","4,214"
上海分行,上海市浦东新区陆家嘴环路1333号,74 3,"62,933","2,221"
北京分行,北京市西城区复兴门内大街158号,57 3,"27,645","2,155"
广州分行,广州市天河区珠江新城华强路1号珠控商务大厦,50 2,"83,338","1,704"
杭州分行,杭州市江干区民心路280号平安金融中心1幢,32 1,"68,760","1,369"
武汉分行,武汉市武昌区中北路54号,28,"91,058",827
南京分行,南京市鼓楼区山西路128号,31,"88,788",950
上海自贸试验区分行,上海市浦东新区杨高南路799号,1,"78,016",153
西安分行,西安市新城区东新街240号,19,"67,216",640
佛山分行,佛山市东平新城区裕和路佛山新闻中心五区,30,"64,739",779
青岛分行,青岛市崂山区苗岭路28号,21,"64,703",666
成都分行,成都市高新区天府二街99号,26,"59,915",790
天津分行,天津市南开区南京路349号,26,"58,845",838
香港分行,香港康乐广场8号交易广场一座42楼,1,"56,817",99
郑州分行,郑州市郑东新区商务外环路25号,24,"52,219",645
大连分行,大连市中山区港隆路21号,22,"51,357",656
,长沙市岳麓区观沙岭街道茶子山东路112号滨江金,,,
长沙分行,,19,"50,547",573
,融中心二期T1栋106号,,,
福州分行,福州市鼓楼区五四路109号,26,"48,837",607
重庆分行,重庆市渝中区经纬大道778号,30,"47,036",692
厦门分行,厦门市思明区展鸿路莲前街道82号,18,"44,857",459
宁波分行,宁波市鄞州区海晏北路139号,16,"42,898",549
