项目,列2,列3,列4,列5
财务报表附注(续),,,,
业务分部(续),,,,
,,2023年度,,
,批发金融业务,零售金融业务,其他业务,合计
利息净收入(1),"28,830","76,329","12,832","117,991"
非利息净收入(2),"24,751","19,832","2,125","46,708"
营业收入,"53,581","96,161","14,957","164,699"
营业支出(3),"(16,885)","(30,114)",(678),"(47,677)"
其中：折旧、摊销与租赁费,"(2,142)","(4,158)",(185),"(6,485)"
减值损失前营业利润,"36,696","66,047","14,279","117,022"
信用及其他资产减值损失,63,"(59,131)",(26),"(59,094)"
营业外净支出,"(3,552)",,"(123,210)",
分部利润,"36,724","6,864","14,130","57,718"
所得税费用,,,,"(11,263)"
净利润,,,,"46,455"
,,2023年12月3,1日,
总资产,"2,357,660","1,948,994","1,280,462","5,587,116"
总负债,"3,354,452","1,239,133","521,203","5,114,788"
(1) 包含“外部利息净收入/支出,”和“内部利息净,收入/支出”；,,
(2) 包含手续费及佣金净收入,、投资收益、公允,价值变动损益、汇兑,损益、其他业务,收入、资产
处置损益和其他收益；,,,,
(3) 包括税金及附加和业务及,管理费。,,,
