项目,"委员会主席：艾春荣
委员：郭世邦、蔡洪
滨、杨如生",3,"2023年1月16日
2月25日
3月7日","审议通过年度关联交易情况和关联交易管理制度执行情
况报告、年度关联方名单、委员会2023年工作计划、与
方正证券股份有限公司、中国平安人寿保险股份有限公
司、深圳平安综合金融服务有限公司、平安国际融资租赁
有限公司、陆金所控股有限公司、中国平安保险（集团）
股份有限公司、山东黄金矿业股份有限公司、平安证券股
份有限公司、平安健康医疗科技有限公司的关联交易"
,委员会主席：艾春荣,6,5月4日,
,委员：郭世邦、刘峰、,6,7月24日,
,郭田勇,6,8月22日,
,,6,11月17日,
,,6,12月4日,
,,6,12月22日,
提名委员会,委员会主席：郭田勇,1,2023年1月16日,审议通过委员会2023年工作计划、提名冀光恒先生为行
提名委员会,委员：谢永林、蔡方,1,2023年1月16日,长、执行董事候选人、提名潘敏先生为独立董事候选人、
提名委员会,方、杨军、蔡洪滨,1,2023年1月16日,提名郭晓涛先生为非执行董事候选人、提名吴雷鸣先生为
提名委员会,,1,2023年1月16日,行长助理兼首席风险官的议案
,委员会主席：吴志攀,3,6月8日,
,委员：谢永林、蔡方,3,10月24日,
,方、杨军、郭田勇,3,11月27日,
薪酬与考核,主席：杨军,2,2023年1月16日,审议通过委员会2023年工作计划、高级管理人员薪酬事
委员会,委员：蔡方方、郭田,2,3月7日,项、鞠维萍先生薪酬、部分高级管理人员薪酬，听取审阅
,勇、杨如生,2,,高级管理人员年度绩效奖金预发报告、高级管理人员年度
,,2,,绩效奖金结算等薪酬事项的报告
,主席：杨军,2,8月3日,
,委员：蔡方方、吴志,2,11月27日,
,攀、刘峰,2,,
