项目,列2,列3,列4,列5
财务报表附注(续),,,,
递延所得税资产(续),,,,
本行互抵前的递延所得税资产和负,债及对应的暂时性,差异列示如下：,,
,,本行,,
,2023年12月3,1日,2022年12月3,1日
,可抵扣/,递延,可抵扣/,递延
,(应纳税),所得税,(应纳税),所得税
,暂时性差异,资产/(负债),暂时性差异,资产/(负债)
递延所得税资产,,,,
资产减值准备,"175,756","43,939","174,984","43,746"
工资薪金,"11,024","2,756","7,736","1,934"
交易性金融资产和负债、衍生,,,,
金融工具及贵金属公允价,,,,
值变动,-,-,-,-
以公允价值计量且其变动计,,,,
入其他综合收益的金融工,,,,
具公允价值变动,"568,142",,"1,164",291
租赁负债,"6,210","1,553","6,922","1,731"
其他,"6,620","1,655","1,488",372
小计,"200,178","50,045","192,294","48,074"
递延所得税负债,,,,
吸收合并原平安银行产生的,,,,
公允价值评估增值,"(2,296)",(574),"(2,608)",(652)
交易性金融资产和负债、衍生,,,,
金融工具及贵金属公允价,,,,
值变动,"(7,208)","(1,802)","(4,252)","(1,063)"
使用权资产,"(5,776)","(1,444)","(6,526)","(1,632)"
其他,"(2,180)",(545),"(2,848)",(712)
小计,"(17,460)","(4,365)","(16,234)","(4,059)"
净值,"182,718","45,680","176,060","44,015"
