项目,财务报表主要项目附注(续),列3,列4
财务报表附注(续),,,
6.,发放贷款和垫款(续),,
6.2,按行业分析,,
,,本集团及,本行
,,2023年12月31日,2022年12月31日
,农牧业、渔业,"3,575","3,124"
,采矿业,"17,821","18,899"
,制造业,"200,675","183,192"
,能源业,"37,527","33,091"
,交通运输、邮电业,"59,744","51,441"
,批发和零售业,"151,160","124,729"
,房地产业,"255,322","283,484"
,社会服务、科技、文化、卫生业,"246,241","219,219"
,建筑业,"52,760","45,868"
,个人贷款,"1,977,719","2,047,390"
,其他,"404,965","318,724"
,贷款和垫款总额,"3,407,509","3,329,161"
,加：应计利息,"9,954","11,016"
,减：贷款减值准备(见附注四、6.6),"(97,353)","(97,919)"
,贷款和垫款账面价值,"3,320,110","3,242,258"
6.3,按担保方式分布情况分析,,
,,本集团及本,行
,,2023年12月31日,2022年12月31日
,信用贷款,"1,315,582","1,283,847"
,保证贷款,"226,971","221,241"
,附担保物贷款,"1,650,157","1,626,526"
,其中：抵押贷款,"1,313,001","1,316,244"
,质押贷款,"337,156","310,282"
,小计,"3,192,710","3,131,614"
,贴现,"214,799","197,547"
,贷款和垫款总额,"3,407,509","3,329,161"
,加：应计利息,"9,954","11,016"
,减：贷款减值准备(见附注四、6.6),"(97,353)","(97,919)"
,贷款和垫款账面价值,"3,320,110","3,242,258"
