项目,风险披露(续),列3,列4,列5,列6
财务报表附注(续),,,,,
1.,信用风险(续),,,,
1.3,信用风险衡量(续),,,,
,信用风险敞口分析(续),,,,
,债权投资,,,,
,,,本集团,,
,,,2023年12月,31日,
,,第一阶段,第二阶段,第三阶段,合计
,,12个月预期,整个存续期预期,整个存续期预期,
,信用等级,信用损失,信用损失,信用损失,
,低风险,"739,713",-,-,"739,713"
,中风险,"25,007","5,316",-,"30,323"
,高风险,-,"1,700",-,"1,700"
,违约,-,-,"12,571","12,571"
,账面余额,"764,720","7,016","12,571","784,307"
,减值准备,"(2,124)",(763),"(8,953)","(11,840)"
,账面价值,"762,596","6,253","3,618","772,467"
,,,本行,,
,,,2023年12月,31日,
,,第一阶段,第二阶段,第三阶段,合计
,,12个月预期,整个存续期预期,整个存续期预期,
,信用等级,信用损失,信用损失,信用损失,
,低风险,"739,375",-,-,"739,375"
,中风险,"24,710","5,316",-,"30,026"
,高风险,-,"1,700",-,"1,700"
,违约,-,-,"12,571","12,571"
,账面余额,"764,085","7,016","12,571","783,672"
,减值准备,"(2,120)",(763),"(8,953)","(11,836)"
,账面价值,"761,965","6,253","3,618","771,836"
