项目,2023年10-12月,列3,列4,2023年7-9月,列6,列7
项目利息收入/平均收益/利息收入/平均收,,,,,,
,日均余额,利息收入/,平均收益/,日均余额,利息收入/,平均收益/
,日均余额,支出,成本率,日均余额,支出,成本率
资产,,,,,,
发放贷款和垫款,"3,394,118","43,449",5.08%,"3,397,600","45,638",5.33%
金融投资,"1,015,311","7,790",3.04%,"983,070","7,672",3.10%
存放央行,"245,804",956,1.54%,"250,545",973,1.54%
存拆放同业及其他,"346,661","2,467",2.82%,"320,150","2,205",2.73%
生息资产总计,"5,001,894","54,662",4.34%,"4,951,365","56,488",4.53%
负债,,,,,,
吸收存款,"3,462,033","19,131",2.19%,"3,459,421","19,219",2.20%
已发行债务证券,"663,328","4,411",2.64%,"660,340","4,271",2.57%
同业业务及其他,"753,066","4,484",2.36%,"713,593","4,277",2.38%
计息负债总计,"4,878,427","28,026",2.28%,"4,833,354","27,767",2.28%
利息净收入,,"26,636",,,"28,721",
存贷差,,,2.89%,,,3.13%
净利差,,,2.06%,,,2.25%
净息差,,,2.11%,,,2.30%
