项目,风险披露(续),列3,列4,列5,列6,列7,列8
财务报表附注(续),,,,,,,
3.,市场风险(续),,,,,,
3.2,利率风险(续),,,,,,
,于2022年12月31日，本集,团的资产负,债表按合同重定,价日或到期,日两者较早者,分析如下：,
,,,,本集团,,,
,,,,2022年12月3,1日,,
,,,3个月,,,,
,,3个月内,至1年,1至5年,5年以上,不计息,合计
,资产：,,,,,,
,现金及存放中央银行,,,,,,
,款项,"274,300",-,-,-,"10,977","285,277"
,贵金属,-,-,-,-,"16,555","16,555"
,应收同业和其他金融,,,,,,
,机构款项(1),"198,408","74,259",-,-,"1,144","273,811"
,交易性金融资产及衍,,,,,,
,生金融资产,"13,528","65,205","135,737","40,301","218,915","473,686"
,发放贷款和垫款,"1,275,523","1,501,004","432,010","22,705","11,016 3,","242,258"
,债权投资,"23,192","67,876","332,679","300,520","7,583","731,850"
,其他债权投资,"13,523","50,449","93,621","13,029","1,611","172,233"
,其他权益工具投资,-,-,-,-,"6,380","6,380"
,固定资产,-,-,-,-,"11,083","11,083"
,商誉,-,-,-,-,"7,568","7,568"
,使用权资产,-,-,-,-,"6,530","6,530"
,其他资产,-,-,-,-,"94,283","94,283"
,资产合计,"1,798,474","1,758,793","994,047","376,555","393,645 5,","321,514"
,负债：,,,,,,
,向中央银行借款,"114,988","75,131",-,-,"1,797","191,916"
,应付同业和其他金融,,,,,,
,机构款项(2),"450,684","15,757","6,360",-,"5,173","477,974"
,交易性金融负债及衍,,,,,,
,生金融负债,"62,494",-,-,-,"38,974","101,468"
,吸收存款,"1,956,399","579,921","770,391",-,"45,555 3,","352,266"
,已发行债务证券,"213,599","346,122","129,978",-,"2,376","692,075"
,租赁负债,-,-,-,-,"6,922","6,922"
,其他负债,-,-,-,-,"64,213","64,213"
,负债合计,"2,798,164","1,016,931","906,729",-,"165,010 4,","886,834"
,利率风险缺口,"(999,690)","741,862","87,318","376,555",不适用,不适用
,(1) 应收同业和其他,金融机构款项,包括存放同业,款项、拆出资,金及买入返售,金融资产。,
,(2) 应付同业和其他,金融机构款项,包括同业及其,他金融机构存,放款项、拆入,资金及卖出回,购金融
