项目,年年度报告,列3,列4,列5,列6,列7,列8
,做实消保教育宣,传 本行切实承担社,会责任，,通过,集中式、常态化、,创新性等形式,，推出“消保
乡村,万里行”、防范,非法“代理维权”,、反诈营,地等活,动。2023年，本,行累计组织线,上线下教育宣
传活,动近1.9万次，触,达消费者超3亿,人次。202,3年,3月，本行“金融,反诈快闪店”,宣教活动入选
中国,银保传媒消费者,权益保护典型案例,。,,,,
,保障特殊客群权,利 本行持续优化老,年客群及,特殊,客群的“金融+生,活”服务体验,，通过远程柜
面渠,道为老年人提供,大字版服务，并提,供远程在,线填,单帮助，解决老年,人输入文字困,难问题；借助
远程,坐席，为聋哑人,士提供远程手语服,务；通过,手机,无障碍屏幕朗读功,能，为视障人,士提供开户及
账户,业务服务；在网,点推出无障碍服务,通道，设,立爱,心电话、服务窗口,、专座等区域,，为特殊客群
提供,便捷的服务体验,。,,,,,
,维护客户合法权,益 本行将防范电信,网络诈骗,及打,击电信网络诈骗作,为支付业务的,重点工作，通
过搭,建全生命周期的,客户风险分级分类,管理机制,，提升,反诈防控工作的精,准化和体系化,水平。同时，
升级,“反诈数智人”,体系，实现场景化,精准宣教,；202,3年，本行成功劝,阻近1.32万名,被骗客户，全
额拦,截潜在损失4.34,亿元。,,,,,
,推进纠纷多元化,解 本行健全金融纠,纷多元化,解机,制，切实履行金融,纠纷处理的主,体责任，保护
金融,消费者合法权益,，为金融消费者提,供多途径,、多层,次的解决渠道。2,023年末，本,行已与省、市
级金,融纠纷调解机构,合作建立共17个调,解工作站,，累,计输送181位兼职,调解员，多家,分行获评省、
市级,“金融纠纷多元,化解先进单位”等,多项荣誉,称号。,,,
,强化科技赋能消,保 本行通过人工智,能、大数,据等,技术赋能消保场景,，升级短信和电,话验伪平台，
不断,提升消保智能化,水平。2023年，本,行客户通,过短,信和电话查询平台,自助查询超23.,8万次，同比
提升,61.3%。,,,,,,
,加强客户投诉管,理 本行坚持以客,户为中心,，在营,业网点、平安银,行官方网站、,平安口袋银行
APP,等公开投诉渠道,，不断完善投诉处,理流程，,提升,投诉管理工作水平,。2023年末，,本行受理监管
部门,转办投诉、95511,渠道客户投诉、信用,卡中心渠,道客,户投诉及行内其他,渠道投诉合计,"229,573件。"
从消,费者投诉业务类,别看，主要包括信,用卡业务,投诉占,比55.2%，贷款业,务投诉占比17,.8%，借记卡
业务,投诉占比9.0%，,债务催收业务投诉,占比7.4%,，银,行代理业务投诉占,比2.0%。,
,具体按地区分布,如下表所示：,,,,,
,地区,投诉数量,地区,,投诉数量,地区,投诉数量
,北京,"1,466",福建,,572,云南,373
,天津,416,江西,,294,西藏,0
,河北,,山东,,,陕西,
,山西,784,河南,,842,甘肃,482
,内蒙古,269,湖北,,948,青海,76
,辽宁,184,湖南,,"1,179",宁夏,0
,,468,,,572,,34
