项目,财务报表主要项目附注(续),列3,列4
财务报表附注(续),,,
20.,向中央银行借款,,
,,本集团及本,行
,,2023年12月31日,2022年12月31日
,中期借贷便利,"124,800","115,600"
,向央行卖出回购票据,"26,211",
,向央行卖出回购债券,"74,970","69,760"
,其他,"6,992","4,548"
,小计,"206,788","190,119"
,加：应计利息,"1,995","1,797"
,合计,"208,783","191,916"
21.,同业及其他金融机构存放款项,,
,,本集团,
,,2023年12月31日,2022年12月31日
,境内银行同业,"103,142","98,717"
,境内其他金融机构,"360,016","307,523"
,境外银行同业,"276,104",
,境外其他金融机构,"8,736",
,小计,"463,521","406,380"
,加：应计利息,"4,270",898
,合计,"467,791","407,278"
,,本行,
,,2023年12月31日,2022年12月31日
,境内银行同业,"103,142","98,717"
,境内其他金融机构,"360,064","307,850"
,境外银行同业,"276,104",
,境外其他金融机构,"8,736",
,小计,"463,569","406,707"
,加：应计利息,"4,270",898
,合计,"467,839","407,605"
