项目,列2,列3,列4,列5,列6
财务报表附注(续),,,,,
,本集团,及本行,,,
,2023年,12月31日,,,
1个月内 1至3个月 3个,月至1年,1至5年,5年以上,无期限,合计
"银行承兑汇票 165,285 238,504","341,066",-,-,-,"744,855"
未使用的信用卡信贷额度及,,,,,
"贷款承诺 657 14,967","93,652","419,132","432,031",-,"960,439"
"开出保函 15,489 12,221","39,447","25,836",73,-,"93,066"
"开出信用证 17,551 32,274","98,540",458,-,-,"148,823"
"合计 198,982 297,966","572,705","445,426","432,104",-,"1,947,183"
,本集团,及本行,,,
,2022年,12月31日,,,
1个月内 1至3个月 3个,月至1年,1至5年,5年以上,无期限,合计
"银行承兑汇票 69,942 158,518","475,815",-,-,-,"704,275"
未使用的信用卡信贷额度及,,,,,
"贷款承诺 373 7,537","58,996","458,956","363,704",-,"889,566"
"开出保函 13,040 13,948","57,116","27,153",61,-,"111,318"
"开出信用证 10,474 23,614","88,075",670,-,-,"122,833"
"合计 93,829 203,617","680,002","486,779","363,765",-,"1,827,992"
管理层预计在信贷承诺到期时有关承诺并不会被借款人全部使用。,,,,,
