项目,审计,报告
,,安永华明（2024）审字第70036697_H01号
,,平安银行股份有限公司
平安银行股份有限公司全体股东：,,
一、审计意见,,
我们审计了平安银行股份有限公司的财,务,报表，包括2023年12月31日的合并及银行资产负
债表，2023年度的合并及银行利润表、股东,权,益变动表和现金流量表以及相关财务报表附注。
我们认为，后附的平安银行股份有限公,司的,财务报表在所有重大方面按照企业会计准则的规
定编制，公允反映了平安银行股份有限公司,202,3年12月31日的合并及银行财务状况以及2023年
度的合并及银行经营成果和现金流量。,,
二、形成审计意见的基础,,
我们按照中国注册会计师审计准则的规,定执,行了审计工作。审计报告的“注册会计师对财务
报表审计的责任”部分进一步阐述了我们在,这些,准则下的责任。按照中国注册会计师职业道德守
则，我们独立于平安银行股份有限公司，并,履行,了职业道德方面的其他责任。我们相信，我们获
取的审计证据是充分、适当的，为发表审计,意见,提供了基础。
三、关键审计事项,,
关键审计事项是我们根据职业判断，认,为对,本期财务报表审计最为重要的事项。这些事项的
应对以对财务报表整体进行审计并形成审计,意见,为背景，我们不对这些事项单独发表意见。我们
对下述每一事项在审计中是如何应对的描述,也以,此为背景。
我们已经履行了本报告“注册会计师对,财务,报表审计的责任”部分阐述的责任，包括与这些
关键审计事项相关的责任。相应地，我们的,审计,工作包括执行为应对评估的财务报表重大错报风
险而设计的审计程序。我们执行审计程序的,结果,，包括应对下述关键审计事项所执行的程序，为
财务报表整体发表审计意见提供了基础。,,
