项目,风险披露(续),列3,列4,列5,列6,列7,列8
财务报表附注(续),,,,,,,
3.,市场风险(续),,,,,,
3.2,利率风险(续),,,,,,
,于2023年12月31日，本行,的资产负债,表按合同重定,价日或到期日,两者较早者分,析如下：,
,,,,本行,,,
,,,,2023年12月3,1日,,
,,,3个月,,,,
,,3个月内,至1年,1至5年,5年以上,不计息,合计
,资产：,,,,,,
,现金及存放中央银行,,,,,,
,款项,"267,428",-,-,-,"7,235","274,663"
,贵金属,-,-,-,-,"9,680","9,680"
,应收同业和其他金融,,,,,,
,机构款项(1),"307,677","98,492","16,234",-,"1,814","424,217"
,交易性金融资产及衍,,,,,,
,生金融资产,"5,303","21,960","161,597","44,285","234,315","467,460"
,发放贷款和垫款,"1,397,847","1,528,328","356,985","26,996","9,954 3,","320,110"
,债权投资,"27,136","69,701","339,724","327,689","7,586","771,836"
,其他债权投资,"17,172","41,363","86,373","12,785","1,388","159,081"
,其他权益工具投资,-,-,-,-,"6,214","6,214"
,固定资产,-,-,-,-,"9,786","9,786"
,商誉,-,-,-,-,"7,568","7,568"
,使用权资产,-,-,-,-,"5,776","5,776"
,其他资产,-,-,-,-,"107,676","107,676"
,资产合计,"2,022,563","1,759,844","960,913","411,755","408,992 5,","564,067"
,负债：,,,,,,
,向中央银行借款,"127,732","79,056",-,-,"1,995","208,783"
,应付同业和其他金融,,,,,,
,机构款项(2),"471,493","71,759","6,500",-,"7,197","556,949"
,交易性金融负债及衍,,,,,,
,生金融负债,"29,275",-,-,-,"44,559","73,834"
,吸收存款,"1,907,637","557,069","925,520",-,"68,061 3,","458,287"
,已发行债务证券,"267,451","348,367","109,994",-,"2,516","728,328"
,租赁负债,-,-,-,-,"6,210","6,210"
,其他负债,-,-,-,-,"64,895","64,895"
,负债合计,"2,803,588","1,056,251","1,042,014",-,"195,433 5,","097,286"
,利率风险缺口,"(781,025)","703,593","(81,101)","411,755",不适用,不适用
,(1) 应收同业和其他,金融机构款项,包括存放同业,款项、拆出资,金及买入返售,金融资产。,
,(2) 应付同业和其他,金融机构款项,包括同业及其,他金融机构存,放款项、拆入,资金及卖出回,购金融
