项目,2023年12月,31日,列4
财务报表附注(续),,,
第一阶段,第二阶段,第三阶段,合计
12个月预期,整个存续期预期,整个存续期预期,合计
信用损失,信用损失,信用损失,合计
"739,713","5,316","12,571",合计
"25,007","1,700",,合计
,,,"739,713"
,,,"30,323"
,,,"1,700"
,,,"12,571"
"764,720","7,016","12,571","784,307"
"(2,124)",(763),"(8,953)","(11,840)"
"762,596","6,253","3,618","772,467"
,本行,,
,2023年12月,31日,
第一阶段,第二阶段,第三阶段,合计
12个月预期,整个存续期预期,整个存续期预期,合计
信用损失,信用损失,信用损失,合计
"739,375","5,316","12,571",合计
"24,710","1,700",,合计
,,,"739,375"
,,,"30,026"
,,,"1,700"
,,,"12,571"
"764,085","7,016","12,571","783,672"
"(2,120)",(763),"(8,953)","(11,836)"
"761,965","6,253","3,618","771,836"
