项目,列2,列3,15.66%
前五名供应商采购额中关联方采购额占年度采购总额比例,,,0.00%
公司前 5名供应商资料,,,
序号 供应商名称 采购额（元,）,占年度采购总额比,例
"1 供应商1 149,557",",737.",48,3.99%
"2 供应商2 139,760",",613.",07,3.73%
"3 供应商3 119,942",",379.",70,3.20%
"4 供应商4 95,407",",103.",58,2.54%
"5 供应商5 82,633",",644.",21,2.20%
"合计 -- 587,301",",478.",04,15.66%
主要供应商其他情况说明,,单位,：元
□ 适用 √ 不适用,,单位,：元
3、费用,,单位,：元
2019年 2018年 同,比增减,重大变动说明,
"销售费用 1,591,461,765.35 1,582,516,799.15",0.5,7%,
"管理费用 219,812,414.60 193,639,472.04",13.5,2%,
"财务费用 -11,202,014.02 -4,155,372.15",169.5,8% 主要是报告期利息收入增,加所致
"研发费用 47,052,555.53 18,727,830.62",151.2,主要是报告期新产品研发,投入规
"研发费用 47,052,555.53 18,727,830.62",151.2,4%,投入规
"研发费用 47,052,555.53 18,727,830.62",151.2,模增加所致,投入规
4、研发投入,品市,场调研支出、研发人员薪,酬、
√ 适用 □ 不适用,产品,质量、保证食品安全、开,发出
公司研发支出主要包括：试验设备设施投入、新产,进有,利于公司核心竞争力的提,升，
新产品开发试验用原料等。公司各项研发投入对于提高,,,
更具有竞争力的产品具有重要意义，研发项目的稳步推,,,
对公司经营发展具有积极的促进作用。,,,
公司研发投入情况,,,
2019年,2,018年 变动比,例
研发人员数量（人） 109,,110,-0.91%
研发人员数量占比 1.61%,,1.61%,0.00%
"研发投入金额（元） 149,926,685.32",,"166,733,413.39",-10.08%
研发投入占营业收入比例 2.50%,,3.01%,-0.51%
研发投入资本化的金额（元） 0.00,,0.00,0.00%
资本化研发投入占研发投入的比例 0.00%,,0.00%,0.00%
