项目,列2,列3,列4,列5,单位： 元
单位名称 转回或收回金,额,,,收回方式,
4）本期实际核销的其他应收款情况,,,,,单位： 元
项目,,核销,金,额,
其中重要的其他应收款核销情况：,核销原因,履行的核,销,款项是,单位： 元
单位名称 其他应收款性质 核销金额,核销原因,履行的核,销,程序,否由关联交
其他应收款核销说明：,账龄,占其他应,收,易,产生
5）按欠款方归集的期末余额前五名的其他应收款情况,账龄,占其他应,收,款期末,单位： 元
单位名称 款项的性质 期末余额,账龄,占其他应,收,坏账准,备期末余额
"单位1 往来款 242,478,295.75 1年",以内,余额合计,数,的比例,"2,123,914.79"
"单位1 往来款 242,478,295.75 1年",以内,余额合计,数,51.97% 1,"2,123,914.79"
"单位2 往来款 88,811,344.90 1年",以内,,,19.03%,"4,440,567.25"
"单位3 往来款 64,680,406.83 1年",以内,,,13.86%,"3,234,020.34"
"单位4 押金 25,321,545.00 4至",5年,,,5.43%,"1,266,077.25"
"单位5 押金 17,773,024.00 1至",2年,,,3.81%,"888,651.20"
"合计 -- 439,064,616.48",--,,,94.10% 2,"1,953,230.83"
6）涉及政府补助的应收款项,,期末账龄,,预计收取的,单位： 元
单位名称 政府补助项目名称 期末余额,,期末账龄,,预计收取的,时间、金额
7）因金融资产转移而终止确认的其他应收款,,,,及,依据
8）转移其他应收款且继续涉入形成的资产、负债金额,,,,及,单位： 元
其他说明：,,,,及,
3、长期股权投资,,,,及,
期末余额,,,期,初余额,
项目,,,期,初余额,
账面余额 减值准备 账面价值,账面余,额,减,值准备,账面价值
