项目,"( )
）坏账准备计提情况
适用 √ 不适用
他说明：
3）其他应收款
）其他应收款按款项性质",分类情况,列4,列5,"依据
单位： 元"
,款项性质,,期末账面余,额 期初账面余额,
保,证金及押金,,,"96,337,056.26","54,837,627.01"
员,工备用金,,,"9,276,749.45","4,522,399.55"
往,来款,,,"7,651,892.39","4,533,448.19"
其,他,,,"4,139,062.40","2,263,912.39"
合,计,,,"117,404,760.50","66,157,387.14"
2,）坏账准备计提情况,,,,单位： 元
,第,一阶段,第二阶段,第三阶段,
,坏账准备 未来1,2个月预期信 整个,存续期预期信用,损失 整个存续期预期信用损失,合计
,,用损失,(未发生信用减值,) (已发生信用减值),
20,19年1月1日余额,"11,877,906.49",,,"11,877,906.49"
20,19年1月1日余额在,"11,877,906.49",,,"11,877,906.49"
本,期,——,——,——,——
本,期计提,"5,732,807.57",——,——,"5,732,807.57"
20,19年12月31日余额,"17,610,714.06",,,"17,610,714.06"
损,失准备本期变动金额重大的账,面余额变动情况,,,单位： 元
□,适用 √ 不适用,面余额变动情况,,,单位： 元
按,账龄披露,面余额变动情况,,,单位： 元
,账龄,,,账面余额,
1,年以内（含1年）,,,,"63,760,600.05"
1,至2年,,,,"20,704,698.90"
2,至3年,,,,"1,310,129.47"
3,年以上,,,,"31,629,332.08"
,3至4年,,,,"2,689,491.89"
,4至5年,,,,"25,910,063.33"
,5年以上,,,,"3,029,776.86"
