项目,"79,869",",888.5",1,"19,221,616.66",列6,"57,197,033.63","14,220,180.61"
内部交易未实现利润,"160,657",",161.8",0,"40,164,290.45",,"77,816,327.45","19,454,081.86"
可抵扣亏损,,,,,,"6,514,463.56","1,378,881.02"
政府补助,"115,690",",350.0",1,"28,450,078.62",,"115,890,452.58","28,487,669.82"
其他,,,,,,"6,774,310.34","1,693,577.58"
合计,"356,217",",400.3",2,"87,835,985.73",,"264,192,587.56","65,234,390.89"
（2）未经抵销的递延所得税,负债,,,,,,单位： 元
项目,,期,末余额,,,期初余额,
应纳税,暂时性,差异,递延所,得税负债 应,纳税,暂时性差异 递延,所得税负债
非同一控制企业合并资,"39,084",",097.8",0,"9,771,024.45",纳税,"40,297,947.64","10,074,486.91"
产评估增值,"62,385",",387.0",4,"15,596,346.76",纳税,"42,905,783.24","10,726,445.80"
"单价5,000元以下固定",,,,,纳税,,
资产加速折旧,"52,072",",779.9",6,"13,018,194.99",,"31,998,216.89","7,999,554.24"
单价不超过100万元的,"153,542",",264.8",0,"38,385,566.20",,"115,201,947.77","28,800,486.95"
研发设备加速折旧,,,,,,,
合计,,,,,,,
（3）以抵销后净额列示的递,延所得,税资,产或负债,延所得税资产 递延,所得,税资产和负债 抵销后递,单位： 元
递延所得,税资产,和负债,抵销后递,延所得税资产 递延,所得,税资产和负债 抵销后递,延所得税资产
项目,,,,延所得税资产 递延,所得,税资产和负债 抵销后递,
期末,互抵金,额,或负债,期末余额,期初,互抵金额 或负,债期初余额
递延所得税资产,互抵金,额,或负债,"87,835,985.73",期初,互抵金额 或负,"65,234,390.89"
递延所得税负债,,,,"38,385,566.20",,,"28,800,486.95"
（4）未确认递延所得税资产,明细,,,,,,单位： 元
项目,,,期,末余额,,期初余额,
可抵扣暂时性差异,,,,"5,208,560",.86,,"27,814,366.21"
可抵扣亏损,,,,"217,540,178",.88,,"298,224,027.42"
合计,,,,"222,748,739",.74,,"326,038,393.63"
（5）未确认递延所得税资产,的可抵,扣亏,损将于以下,年度到期,,,单位： 元
年份,,期末金,额,期初金,额,备,注
2019年,,,,,"62,92","7,022.44",
2020年,,,"53,031,010.8","27,937",,"7,906.41",
2021年,,,"46,083,611.5","05,070",,"9,658.71",
2022年,,,"21,832,738.6","23,164",,"8,868.62",
