项目,列2,列3,列4,列5,列6,列7
,,,,,,单位： 元
本期,发生额,,,上,期发生额,
项目,,,,,,
收入,,成本,,收入,,成本
"主营业务 5,973,567,722.99",,"3,879,916,024.2",2,"5,525,510,611",.46,"3,568,882,545.50"
"其他业务 12,154,531.08",,"421,331.4",5,"13,805,448",.06,"2,838,473.06"
"合计 5,985,722,254.07",,"3,880,337,355.6",7,"5,539,316,059",.52,"3,571,721,018.56"
是否已执行新收入准则,,,,,,
□ 是 √ 否,,,,,,
其他说明:,,,,,,
项 目 本期发,生额,,,上期发,生额,
收入,,成本,,收入,,成本
"主营业务 5,973,567,722.99","3,879,9","16,024.22","5,525,5","10,611.46","3,568,88","2,545.50"
"其他业务 12,154,531.08",4,"21,331.45","13,8","05,448.06","2,83","8,473.06"
"合计 5,985,722,254.07","3,880,3","37,355.67","5,539,3","16,059.52","3,571,72","1,018.56"
（1）主营业务（分行业或业务）,,,,,,
行业（或：业务） 本期发,生额,,,上期发,生额,
名称 营业收入,,营业成本,,营业收入,营,业成本
"销售产品 5,973,567,722.99","3,879,9","16,024.22","5,525,5","10,611.46","3,568,88","2,545.50"
（2）主营业务（分消费群体）,,,,,,
地区名称 本期发,生额,,,上期发,生额,
营业收入,,营业成本,,营业收入,营,业成本
"零售等市场 5,189,578,384.14","3,309,",757167.99,"4,967,3","17,578.69","3,147,36","5,452.48"
"餐饮市场 783,989,338.85","570,","158,856.23","558,1","93,032.77","421,51","7,093.02"
"合 计 5,973,567,722.99","3,879,","916,024.22","5,525,5","10,611.46","3,568,88","2,545.50"
（3）主营业务（分产品）,,,,,,
产品名称 本期发,生额,,,上期发,生额,
营业收入,,营业成本,,营业收入,营,业成本
"汤圆 1,789,179,066.78","1,050,7","77,262.55","1,587,22","5,667.45","928,35","3,789.17"
"水饺 1,848,480,034.08","1,209,4","58,771.00","1,923,21","9,264.09","1,214,91","5,476.23"
"粽子 294,193,108.46","171,3","91,947.76","279,32","8,363.01","163,35","6,352.69"
"面点及其他 2,041,715,513.67","1,448,2","88,042.91","1,735,73","7,316.91","1,262,25","6,927.41"
"合 计 5,973,567,722.99","3,879,9","16,024.22","5,525,51","0,611.46","3,568,88","2,545.50"
（4）主营业务（分地区）,,,,,,
地区名称 本期发,生额,,,上期发,生额,
营业收入,,营业成本,,营业收入,营,业成本
